k,ilp,rr,greedy,baseline
3,0.3339155813859014,0.33296379093740813,0.3255641084734106,0.24404386969847666
5,0.4395844526726944,0.43773596804269416,0.42831340586167965,0.33167978211560245
10,0.5999542314882419,0.5970445878118146,0.5913088429907882,0.48662692311163375
15,0.7004682392877606,0.6975083833337823,0.6925360197207945,0.5915483295222519
20,0.7681738787723107,0.7654303615934442,0.7605157384246848,0.6743730491205944
