k,ilp,rr,greedy,baseline
3,0.2939444963124067,0.29331276079364393,0.2860950624422226,0.19917678287814863
5,0.3966118396530975,0.39478581417619263,0.3857018432445099,0.277573944852168
10,0.5602017982396813,0.5566814907707575,0.550285756518537,0.42659398851377045
15,0.6646722858105139,0.661221176114247,0.6554323027424804,0.5333909945598104
20,0.7374342682999592,0.7340354824060639,0.7288655807288761,0.6191174119118891
