k,ilp,rr,greedy,baseline
3,0.4229630596521431,0.4221193656763296,0.4117393828446169,0.31813276008163827
5,0.534574714378818,0.5333310731720471,0.521933977198656,0.4184657717303285
10,0.6916524463890176,0.6892580846693818,0.6832003453893972,0.5799145325867707
15,0.7817885270907693,0.7790758410223221,0.7744727494508233,0.6827211756259769
20,0.8384722588749781,0.8362256540087384,0.8311300372504637,0.7579360243157993
