k,ilp,rr,greedy,baseline
3,0.3886790685952036,0.3876376412568308,0.37841086157521175,0.2802935746953761
5,0.500934700354738,0.4991855897198491,0.48851330916732083,0.3781168679350269
10,0.6618812057535566,0.6590775229582778,0.6532897213552318,0.5409237559364884
15,0.7567219605546378,0.7537361022143947,0.7493877311324953,0.6467542532212691
20,0.8177150929360667,0.8151018531148156,0.8105505100835305,0.7258833519227591
