k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.38,0.43,0.43,0.47,0.4,0.44
5,0.38,0.38,0.43,0.45,0.39,0.43
10,0.32,0.34,0.4,0.4,0.37,0.4
15,0.3,0.31,0.37,0.38,0.35,0.35
20,0.29,0.29,0.35,0.38,0.34,0.33
