k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,1.06,1.17,1.27,1.25,1.09,1.13
5,1.01,1.1,1.2,1.21,1.07,1.11
10,0.91,0.95,1.06,1.07,1.06,1.04
15,0.79,0.85,0.98,1.02,1.0,0.99
20,0.74,0.79,0.9,1.0,0.95,0.97
