k,ilp,rr,greedy,baseline
3,0.27921020086641957,0.2783035825492393,0.2716808752940248,0.20543008199738175
5,0.375739155192448,0.3739755768522451,0.36568359554436447,0.28486234352890016
10,0.533145138612243,0.5299897750273744,0.523708453873905,0.42802782656094046
15,0.6369164643427667,0.6334148511377936,0.6279030715337569,0.5299705432593014
20,0.7103034041939514,0.7069956747146107,0.7015916666109849,0.6131709330532786
