k,ilp,rr,greedy,baseline
3,0.29956191541549987,0.29867673357196206,0.2915526118129568,0.23118018991511274
5,0.3971155417668698,0.3956895479276042,0.3870777499499043,0.31413917031102995
10,0.5546091647202558,0.5521439055845785,0.5448972563214639,0.459987431086194
15,0.6568729026492901,0.6538028803951945,0.6474234391315661,0.5621139796372726
20,0.7278133321097996,0.7248293520724618,0.7188457516715202,0.6431150042977691
