k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.461,0.342,0.247,0.33,0.284,0.29
5,0.575,0.444,0.36,0.426,0.379,0.397
10,0.728,0.605,0.542,0.565,0.526,0.571
15,0.812,0.701,0.649,0.645,0.613,0.667
20,0.864,0.766,0.718,0.701,0.673,0.73
