k,ilp,rr,greedy,baseline
3,0.3618075890035611,0.36087523944439615,0.35238274723524904,0.2762695956470449
5,0.46814355543473524,0.4667509294414029,0.4567003414346371,0.366923301340342
10,0.6270910261713317,0.6245637379376148,0.618216388907566,0.5230917247172
15,0.724761537965491,0.7220283285459714,0.7162317942273019,0.6265970902750286
20,0.788960157480131,0.7865017755759938,0.780945443552939,0.7063584015447308
