k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.32,0.24,0.15,0.22,0.19,0.19
5,0.42,0.33,0.23,0.3,0.27,0.27
10,0.57,0.48,0.39,0.44,0.4,0.43
15,0.67,0.58,0.5,0.52,0.49,0.53
20,0.74,0.65,0.58,0.59,0.56,0.6
