k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.395,0.296,0.199,0.275,0.238,0.237
5,0.504,0.39,0.298,0.363,0.324,0.328
10,0.663,0.543,0.466,0.498,0.463,0.493
15,0.755,0.642,0.573,0.579,0.55,0.59
20,0.815,0.712,0.646,0.637,0.611,0.659
