k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.357,0.27,0.173,0.243,0.212,0.205
5,0.459,0.357,0.26,0.324,0.292,0.289
10,0.618,0.505,0.419,0.454,0.424,0.444
15,0.714,0.602,0.524,0.534,0.508,0.541
20,0.778,0.673,0.596,0.592,0.568,0.609
