k,ilp,rr,greedy,baseline
3,0.30144087397444813,0.30040652747552127,0.2939642288634881,0.2233104564733612
5,0.4020027484079328,0.4002407879201487,0.39143730363303764,0.30574487087829577
10,0.5603419414648503,0.5570161658922534,0.5510687131776415,0.4533093943664822
15,0.6625040285765342,0.65905617370888,0.6537162330678022,0.5568232106170056
20,0.7338852403596317,0.7306802604439232,0.7254394263317235,0.6392475688682089
