k,greedy,most_popular,proportional,textrank,lexrank,lsa
3,0.37,0.27,0.18,0.26,0.22,0.22
5,0.48,0.37,0.28,0.35,0.31,0.32
10,0.64,0.53,0.45,0.5,0.46,0.49
15,0.73,0.64,0.57,0.58,0.55,0.6
20,0.79,0.71,0.64,0.65,0.62,0.67
