k,ilp,rr,greedy,baseline
3,0.2502656995799437,0.24958720076227559,0.2431326907069637,0.1694895475604531
5,0.3441159546677699,0.34250962278485586,0.3344559713800196,0.23961917519823703
10,0.5022266016323659,0.4986265599547009,0.4918865905855069,0.3761376150302863
15,0.6080781260051202,0.604244932515723,0.5978473986805263,0.47776887166217413
20,0.6848005776640226,0.6810728601914111,0.6752563137775339,0.5627623440111882
