k, ILP, RR, Greedy, RR Time Diff, Greedy Time Diff,ILP, RR, Greedy, RR Cost Diff, Greedy Cost Diff, ILP Setup, ILP Main, ILP GetK, RR Setup, RR Main, RR GetK, RR rr, Greedy Setup, Greedy Main, Greedy GetK
3, 19.64, 12.65, 3.65, 35.59 %, 81.42 %, 750.488, 750.82, 753.308, 0.04 %, 0.38 %, 2.71, 16.92, 0.0, 2.67, 9.94, 0.0, 0.0, 3.61, 0.04, 0.0
5, 19.81, 13.15, 3.68, 33.62 %, 81.42 %, 680.848, 682.096, 684.969, 0.18 %, 0.61 %, 2.74, 17.07, 0.0, 2.73, 10.35, 0.0, 0.01, 3.62, 0.05, 0.0
10, 15.76, 15.16, 3.65, 3.81 %, 76.84 %, 557.739, 560.086, 563.212, 0.42 %, 0.98 %, 2.69, 13.04, -0.01, 4.85, 10.22, -0.01, 0.03, 3.58, 0.07, 0.0
15, 15.58, 13.35, 3.65, 14.31 %, 76.57 %, 470.415, 474.271, 476.81, 0.82 %, 1.36 %, 2.64, 12.88, -0.03, 2.64, 10.59, -0.03, 0.03, 3.56, 0.08, 0.0
20, 17.73, 12.47, 3.55, 29.67 %, 79.98 %, 402.536, 407.89, 409.204, 1.33 %, 1.66 %, 2.61, 15.01, -0.05, 4.73, 7.58, -0.05, 0.03, 3.46, 0.09, 0.0
