k, ILP, RR, Greedy, RR Time Diff, Greedy Time Diff,ILP, RR, Greedy, RR Cost Diff, Greedy Cost Diff, ILP Setup, ILP Main, ILP GetK, RR Setup, RR Main, RR GetK, RR rr, Greedy Setup, Greedy Main, Greedy GetK
3, 16.51, 9.34, 0.92, 43.43 %, 94.43 %, 721.338, 721.696, 732.867, 0.05 %, 1.6 %, 0.53, 15.96, 0.0, 0.52, 8.8, 0.0, 0.0, 0.61, 0.29, 0.02
5, 16.13, 9.16, 0.99, 43.21 %, 93.86 %, 657.78, 658.158, 674.486, 0.06 %, 2.54 %, 0.52, 15.58, 0.0, 0.52, 8.62, 0.0, 0.0, 0.61, 0.36, 0.02
10, 15.91, 9.02, 1.09, 43.31 %, 93.15 %, 550.188, 551.999, 577.04, 0.33 %, 4.88 %, 0.52, 15.35, -0.01, 0.52, 8.46, -0.01, 0.0, 0.61, 0.45, 0.02
15, 15.83, 8.93, 1.16, 43.59 %, 92.67 %, 475.443, 478.489, 505.849, 0.64 %, 6.4 %, 0.5, 15.27, -0.02, 0.5, 8.38, -0.02, 0.0, 0.61, 0.53, 0.02
20, 15.72, 8.82, 1.19, 43.89 %, 92.43 %, 417.383, 423.093, 450.781, 1.37 %, 8.0 %, 0.5, 15.15, -0.03, 0.49, 8.25, -0.03, 0.0, 0.61, 0.56, 0.02
