k, ILP, RR, Greedy, RR Time Diff, Greedy Time Diff,ILP, RR, Greedy, RR Cost Diff, Greedy Cost Diff, ILP Setup, ILP Main, ILP GetK, RR Setup, RR Main, RR GetK, RR rr, Greedy Setup, Greedy Main, Greedy GetK
3, 9.31, 5.84, 1.05, 37.27 %, 88.72 %, 802.993, 803.059, 807.259, 0.01 %, 0.53 %, 1.0, 8.3, 0.0, 0.99, 4.84, 0.0, 0.0, 0.96, 0.07, 0.02
5, 9.18, 6.0, 1.08, 34.64 %, 88.24 %, 755.997, 756.109, 761.586, 0.01 %, 0.74 %, 1.09, 8.08, 0.0, 1.0, 4.99, 0.0, 0.0, 0.96, 0.09, 0.02
10, 9.18, 5.86, 1.13, 36.17 %, 87.69 %, 670.565, 670.829, 678.845, 0.04 %, 1.23 %, 0.99, 8.16, -0.01, 0.99, 4.85, -0.01, 0.0, 0.98, 0.13, 0.02
15, 9.21, 5.92, 1.17, 35.72 %, 87.3 %, 606.255, 606.852, 616.73, 0.1 %, 1.73 %, 1.0, 8.18, -0.02, 1.1, 4.77, -0.02, 0.0, 0.98, 0.16, 0.02
20, 9.08, 5.82, 1.18, 35.9 %, 87.0 %, 553.008, 553.726, 564.937, 0.13 %, 2.16 %, 0.97, 8.05, -0.03, 0.95, 4.8, -0.03, 0.0, 0.98, 0.18, 0.02
